Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor,Subsector
Lido Learning,EdTech,,3000000.0,Mumbai,Online teaching service,2020,,Sahil Sheth,"Pecus Capital, Madhur Deora",
CureFit,Health and Fitness,Series D,115000000.0,Bangalore,"Integrated platform for food, fitness and meditation.",2020,2016,"Mukesh Bansal, Ankit Nagori",Temasek,
Design X,AI,Seed,200000.0,Noida,Builds IoT based products,2020,,Preet Arjun Singh,ThinkNext LLC,
Imstrong,Fitness,Seed,400000.0,Bangalore,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,2020,2019,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,
Craftsvilla,Marketplace,,3900000.0,Mumbai,Online marketplace for ethnic wear,2020,,Monica Gupta. Manoj Gupta,Supera Investments,
CoinDCX,FinTech,Series A,3000000.0,,A cryptocurrency trading platform,2020,,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, HDR Group",
NuNu TV,Media,,670000.0,,Kids-focussed Youtube channel,2020,,,Risers Accelerators,
QTalk,Tech,Seed,1600000.0,Bangalore,Smart Phone Dialer,2020,,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",
Shadez,Interior & decor,Seed,100000.0,Mumbai,Paint Company,2020,2018,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,
Excess2Sell,E-Commerce,,1000000.0,Mumbai,B2B Marketplace for Overstock & Surplus Inventory,2020,,Rajan Sharma,Gautham Madhavan,
Stanplus,HealthTech,Pre-series A,1500000.0,Hyderabad,Ambulance service,2020,2016,Prabhdeep Singh,Pegasus FinInvest,
Pitstop,Automotive,Series A,2500000.0,Bangalore,Doorstep car service,2020,,Mihir Mohan mishra,TPG-backed Group Landmark,
Univariety,EdTech,,1100000.0,Hyderabad,Online marketplace that provides career counselling and college guidance,2020,2015,Jaideep Gupta,Info Edge,
CoreStack,Tech,Series A,8500000.0,Chennai,Enterprise cloud governance technology startup,2020,2016,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,
Vivriti Capital,FinTech,Series B,50000000.0,Chennai,Digital lending startup,2020,2017,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,
Agnikul,Spacetech,Pre-series A,3148000.0,Chennai,"It designs, fabricates, tests and launch orbital class launch vehicles",2020,,Srinath Ravichandran,pi Ventures,
Fintso,FinTech,,2600000.0,,Wealth management platform,2020,2020,"George Mitra, Rajan Pathak","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",
Smart Coin,FinTech,Series A,7000000.0,,Consumer lending startup,2020,2015,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",LGT LightstoneAspada,
ZunRoof,Cleantech,Series A,3000000.0,Gurugram,"It specialises in solar rooftop design, installation, and management using technology",2020,2016,"Pranesh Chaudhary, Sushant Sachan",Godrej Investments,
Shop101,Social e-commerce,Series C,3900000.0,,Enables entrepreneurs to sell online,2020,2015,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",
Lal10,B2B,,1100000.0,Uttar Pradesh,It helps Indian artisans and SMEs reach out to global retailers,2020,2016,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,
Ola Electric,eMobility,,1000000.0,Bangalore,Electric vehicle,2020,,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,
Multi Living,Real Estate,,6000000.0,Mumbai,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",2020,,Pankaj Singh,Lodha Ventures,
FamPay,FinTech,Seed,4700000.0,Bangalore,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",2020,,Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",
UnboxRobotics Labs,Automation tech,Seed,500000.0,Bangalore,Automated flexible parcel sorting solutions for logistics providers,2020,,Pramod Ghadge,"Arali Ventures, CIIE.CO",
Karbon Card,FinTech,Seed,2000000.0,Bangalore,Specialisde corporate cards for startups,2020,,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",
Airmeet,Media & Networking,,3000000.0,Bangalore,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",2020,,"Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,
Innerchef,FoodTech,,1000000.0,Gurugram,Cloud kitchen platform,2020,,Rajesh,Mistletoe,
Epigamia,FMCG,Series C,2558000.0,Mumbai,Flavoured and greek yoghurt brand,2020,2015,Rohan Mirchandani,KA Enterprise,
Paper Boat,Food and Beverages,,4049500.0,Bangalore,Ecommerce platform for beverages and snacks,2020,2013,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",
Strata,Proptech,Seed,1500000.0,Bangalore,Real estate investment platform,2020,2019,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",
Salesken,AI & Data science,Series A,8000000.0,Bangalore,Provides sales professionals with intelligence on various aspects of the sales pitch,2020,,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia Capital India,
Arya,AgriTech,Series B,6000000.0,Noida,Provides post-harvest services across the agricultural value chain,2020,,Prasanna Rao,LGT Lightstone Aspada,
Leap Finance,FinTech,,5500000.0,Bangalore,Provides education loans to students based on the student’s future income,2020,,"Vaibhav Singh, Arnav Kumar",Sequoia Capital India,
Tricog,HealthTech,Series B,10500000.0,Bangalore,Provides virtual cardiology services through its AI-powered healthcare platforms,2020,2015,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",
Trell,Social e-commerce,Pre-series A,4000000.0,Bangalore,Allows users to share their travel experiences,2020,2016,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",
Spaciya Consultants,Real Estate,Pre-series A,500000.0,Noida,Real estate consultancy firms,2020,,Ajit Panda,Alok Garg,
Bounce,Automotive and Rentals,,6500000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,
Neeman,E-Commerce,Pre-series A,1000000.0,,An eco-conscious footwear brand making comfortable shoes using Merino Wool,2020,2017,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,
Chqbook,FinTech,Series A,5000000.0,Gurugram,"Marketplace for small business owners, offering them products around lending, credit cards etc",2020,2017,"Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,
SMEcorner,FinTech,Series B,30000000.0,Mumbai,Financial lending firm to SMEs,2020,2014,"Bhatia, Sneha Shah",Paragon Partners,
Spinny,E-tail,Series B,43700000.0,Haryana,Used car retailing platform,2020,2015,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",
Umeed Housing,FinTech,Series D,23000000.0,Haryana,Housing finance company,2020,,Ashutosh Sharma,Morgan Stanley Private Equity Asia,
Vogo,Automotive,Series C,20000000.0,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,2016,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,
Flick Stree,AI & Media,Series A,3000000.0,Mumbai,Artificial intelligence-based video publishing network,2020,,Saurabh Singh,Samsung Venture Investment,
Qure ai,HealthTech,,16000000.0,Mumbai,Provides interpretations of radiology scans,2020,2016,"Prashant Warier, Pooja Rao",Sequoia Capital India,
Josh Talks,Media,Pre-series A,1500000.0,Haryana,Community of young individuals providing a platform to showcase their stories,2020,2015,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,
RailYatri,Travel,,13800000.0,Noida,A complete Indian railways app,2020,2011,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation",
AjnaLens,Deeptech,Pre-series A,1500000.0,Thane,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",2020,2014,"Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",
Pepper,Content Marktplace,Seed,306900.0,Mumbai,End to end content creation platform,2020,2017,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",
Rupeek,FinTech,,30000000.0,Bangalore,An asset backed online lending platform,2020,2015,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",
iMerit,InfoTech & Services,Series B,20000000.0,Kolkata,Turns information into data that is usable for machine learning processes,2020,2012,Radha Basu,CDC Group Plc,
BharatPe,FinTech,Series C,75000000.0,Delhi,Digital payments platform,2020,2018,Ashneer Grover,Ribbit Capital,
Invideo,Visual Media,,2500000.0,,Video production and editing platform,2020,,Sanket Shah,Sequoia Capital’s Surge,
AvalonMeta,EdTech,,420000.0,,It combines higher education and competitive gaming,2020,2017,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,
Near Store,E-Commerce,Seed,300000.0,Mumbai,Enables a shop to create an online presence,2020,,,Sauce.vc,
Prayaan Capital,FinTech,Seed,1200000.0,Chennai,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",2020,,"Madhan Mohan , Akash Chelvam",Accion Venture Lab,
Sanfe,Hygiene,Pre-series A,1100000.0,Delhi,Women health care and wellness product,2020,,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",
Go Desi,FoodTech,Seed,627300.0,Delhi,Provides traditional delicacies,2020,2018,Vinay Kothari,Rukam Capital,
Swiggy,FoodTech,Series A,113000000.0,Bangalore,Platform to order food online from restaurants and getting it delievered,2020,2014,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,
Whatfix,Tech,Series C,32000000.0,Banglore,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",2020,2014,"Khadim Batti, Vara Kumar",Sequoia Capital India,
Unacademy,EdTech,Series E,110000000.0,Bangalore,Platform that offers online education in India,2020,2010,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",
Zvesta,Proptech,,5500000.0,Gurugram,An online platform where users can search and buy properties listed by developers and brokers,2020,2015,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,
Dunzo,Logistics,,11000000.0,Bangalore,India-based hyperlocal delivery startup,2020,2014,Kabeer Biswas,Alteria Capital,
Digit Insurance,Insurtech,,340000.0,Bangalore,General Insurance Company,2020,,Kamesh Goyal,"Virat Kohli, Anushka Sharma",
Yolo,Transport,Seed,600000.0,Gurugram,Intercity transportation,2020,2019,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,
SmartVizX,VR & SaaS,Pre-series A,1397000.0,,It developed India’s first VR-based design communication and collaboration product Trezi,2020,2015,"Tithi Tewari, Gautam Tewari",Rockstud Capital,
MaxWholesale,E-Commerce,Series A,3000000.0,Delhi,B2B ecommerce platform for kirana stores,2020,2016,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",
Carbon Clean,Cleantech,,16000000.0,,Develops affordable carbon capture technology,2020,2009,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",
Onsitego,Sales & Services,Series B,19000000.0,,It offers post-purchase services through a network of brand authorised service centres throughout the country,2020,,Mahipal,Zodius Growth Fund,
Genius Corner,EdTech,,250000.0,Noida,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,2020,2014,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",
PlanetSpark,EdTech,,448500.0,Gurugram,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,2020,2016,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels",
Simsim,Social Commerce,Series B,8000000.0,Bangalore,It enables community opinion influencers to sell products to thousands of micro-communities in India,2020,,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",
Shuttl,Transport,Series C,7975700.0,Delhi,App based bus aggregator serice,2020,2015,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,
Oga,Fitness,,330000.0,Bangalore,Provides interactive fitness experience to people across the world,2020,,Ashish Rawat,Inflection Point Ventures,
Big Basket,Estore,,3500000.0,Bangalore,Online grocery store,2020,,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,
Innoviti,,,5000000.0,Bangalore,Digital payments solutions company,2020,,Rajeev Agrawal,FMO,
Paytm money,FinTech,,5600000.0,Bangalore,Wealth Management,2020,2010,Vijay Shekhar Sharma,One97 Communications,
Vedantu,EdTech,Series C,24000000.0,Bangalore,Onine learning platform,2020,,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,
Yap,FinTech,,1402000.0,Chennai,Banking and payment products-focused API platform,2020,,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",
Clover,AgriTech,Series A,5500000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020,,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",
Nova Credit,FinTech,Series B,50000000.0,,Cross-border consumer credit startup,2020,,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",
CodingNinjas,EdTech,Series A,5200000.0,Delhi,Online learning platform,2020,2016,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,
Furlenco,E-Commerce,Series C,2200000.0,Bangalore,Furniture rental startup,2020,2011,Ajith Mohan Karimpana,Chowdry Associates,
Brick&Bolt,,Pre-series A,1500000.0,Bangalore,Operates in the residential construction space,2020,2018,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,
HempStreet,HealthTech,Pre-series A,1000000.0,,Manufacturer of ayurvedic medicines based on cannabis,2020,2019,Abhishek Mohan,Pharmacon Holdings,
MoEngage,Marketing,Series C,25000000.0,Bangalore,Customer analytics and cross-channel engagement platform,2020,,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,
Classplus,EdTech,Pre-series A,2500000.0,,It allows coaching centres to take their brick-and-mortar setup online,2020,2018,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",
Chaayos,Beverages,,21500000.0,,Provides customised range of tea,2020,2012,"Nitin Saluja, Raghav Verma",Think Investment,
PetPooja,Tech,,2000000.0,Ahmedabad,Restaurant management software provider,2020,2011,Apurv Patel,Udaan,
Pepperfry,E-market,Series F,40000000.0,Mumbai,Online home furniture marketplace,2020,2013,"Ambareesh Murty, Ashish Shah",Pidilite Industries,
FirstCry,E-market,Series E,296000000.0,Pune,Baby products marketplace,2020,2010,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,
Byju,EdTech,,200000000.0,,Provides online learning classes,2020,2011,Byju Raveendran,General Atlantic,
Waycool,AgriTech,Series C,32000000.0,Chennai,Food development and distribution services,2020,2015,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,
WorkIndia,HR tech,,6000000.0,,An online and mobile-based platform that connects companies with blue collar employees.,2020,,Kunal Patil,Xiaomi,
Qyuki,Media,,3500000.0,Mumbai,Multi-channel broadcast network,2020,,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,
Leap India,AgriTech,Series B,30000000.0,Coimbatore,Agricultural warehousing and logistics company,2020,,Narain Karthikeyan.,Neev Fund,
Picxy,Media,,250000.0,Hyderabad,Stock photo industry,2020,,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",
Krimanshi,AgriTech,,20000.0,Jaipur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,2020,,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,
Dot Pvt. Ltd,FinTech,Seed,8000000.0,Gurugram,It provides digital transformation and commerce solutions to brick and mortar outlets,2020,,Shailaz Nag,"PayU, Fosun RZ Capital",
Kuku FM,Media,Series A,5500000.0,Mumbai,A podcast platform,2020,,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,
SuperMoney,FinTech,Pre-series A,1000000.0,Mumbai,Provides financial tools for effective business making,2020,2018,Nikhil Banerjee,Unitus Ventures.,
Rebel Foods,Food tech,,4900000.0,,It runs internet kitchen,2020,,"Jaydeep Barman, Kallol Bannerjee",Alteria Capital,
Fox Capital,FinTech,,2500000.0,Jaipur,Digital lending startup,2020,2019,Rakesh Sharma,Institutional Investors,
Tribe Theory,Accomodation,,3500000.0,Bangalore,An entrepreneur-focused hostel chain present in multiple locations across the world.,2020,,Katie Russel and Daniel Wiegand,Tim Draper,
Fleetx,Tech,Series A,1402400.0,,Fleet management and predictive analytics platform,2020,,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,
Embibe,EdTech,,12618300.0,Mumbai,It provides AI-based data analytics to personalise learning outcomes,2020,,Aditi Avasthi,Reliance Industries Limited (RIL),
Entri,EdTech,Seed,1400000.0,Kochi,It is a app that provides different types of learning content in local languages,2020,2017,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,
Oye! Rickshaw,E-mobility,Series A,10000000.0,,App-based electric rickshaw hailing service,2020,,Akash Deep,Chiratae Ventures,
1MG,HealthTech,,9900000.0,Gurugram,Online pharmacy,2020,2015,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation,
Doubtnut,EdTech,Series A,15000000.0,Gurugram,Multi-lingual digital solutions platform for students,2020,2017,"Tanushri Nagori, Aditya Shankar",Tencent,
AdonMo,Ad-tech,,3000000.0,Bangalore,It is an online and outdoor advertising company,2020,2017,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,
BharatPe,FinTech,,100000000.0,Delhi,Digital payments platform,2020,2018,Ashneer Grover,Coatue Management,
Kisan Network,AgriTech,Seed,3000000.0,Gurugram,Integrated supply chain for farmers to sell their produce directly to buyers,2020,2015,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,
Vogo,Automotive,Series C,35000000.0,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,2016,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,
Yolo,Transport,Seed,600000.0,Gurugram,Intercity transportation startup,2020,2019,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,
Unotech,Tech,,2000000.0,Mumbai,It develops fully-customisable open source software,2020,2011,Vikash Jha,Manish Choksi,
Zetwerk,Marketplace,,2200000.0,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020,2018,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital,
CureSkin,HealthTech,,500000.0,Bangalore,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,2020,2017,"Guna Kakulapati, Rama Rajanna, Charu Sharma",SenseAI Ventures,
WizKlub,EdTech,Seed Funding,982530.0,Bangalore,Helps students solve problems at complex level,2020,2018,Amit Bansal,Incubate Fund India,
Interviewbit,EdTech,Series A,200000000.0,Pune,Platform that provides coding and interview preparation course by industry professionals from tech companies,2020,2014,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",
MoneyTap,FinTech,Series B,70185200.0,,App-based consumer credit line that gives customers access to credit on tap.,2020,2016,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India",
INdwealth,FinTech,Series C,12000000.0,Gurugram,An Artificial Intelligence and Machine learning based wealth management platform,2020,,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners",
Bizongo,Marketplace,Series C,30000000.0,Mumbai,A B2B marketplace for packaging materials,2020,2015,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,
AppsFlyer,Tech,Series D,210000000.0,Bangalore,Mobile marketing analytics and attribution platform,2020,2011,"Oren Kaniel, Reshef Mann",General Atlantic,
Digit Insurance,Insurtech,,84000000.0,Bangalore,General Insurance Company,2020,,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital",
Livspace,Interior Design,Series D,60000000.0,Bangalore,It offers end-to-end home design experience for homeowners and home designers,2020,2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",
LogiNext,Transport Automation,Series B,39000000.0,,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",2020,,"Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital",
Samosa Singh,Foodtech,Series A,2700000.0,Bangalore,Offers hygienic Indian Snacks,2020,2016,"Shikhar Veer Singh, Nidhi Singh",She Capital,
Crysta,HealthTech,Pre-series A,1403400.0,Delhi,Offers diagnostic and screening services with regular counselling and clinical data management,2020,2018,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",
Eupheus Learning,EdTech,Series A,4300000.0,Delhi,"Provides technology-led, subscription-based learning solutions to schools",2020,2017,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures,
Bounce,Automotive and Rentals,Series D,105000000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",
Park+,Techonology,,11000000.0,,It is engaged in bringing digitization in parking,2020,,Amit Lakhotia,"Sequoia Capital, Matrix Partners India",
Goodmylk,Dairy,Seed,400000.0,Bangalore,Provides Vegan dairy products,2020,2017,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",
SmartKarrot,Tech,,1000000.0,,It tracks customers’ real-time digital behaviour,2020,2019,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors,
Skylo,AI,Series B,103000000.0,,Provides affordable and ever present network that connects machines or sensors,2020,2017,Trivedi,SoftBank Group,
Tea Trunk,Beverage,,220000.0,Goa,Global premium tea brand,2020,2013,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,
Zoomcar,Transport & Rentals,Series D,30000000.0,Bangalore,A car rental service platform,2020,2013,"Greg Moran, David Back",Sony Innovation Fund,
Mera Cashier,FinTech,Seed,250000.0,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020,2019,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",
Samya AI,Tech,Seed,6000000.0,,Revenue growth AI startup in the consumer packed goods (CPG) space,2020,2019,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia Capital India,
Kristal AI,AI,Series A,6000000.0,,Provides Algorithm-based financial services,2020,2016,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,
Invento Robotics,AI Robotics,Seed,281300.0,,Known for Mitra Series of Robots,2020,,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",
Medicus,HealthTech,,12700.0,Mumbai,AI-based platform that explains and interprets blood tests and medical reports,2020,,"Bhavesh Shah, Manav Shah",Angel investors,
Monech,FinTech,Seed,12700.0,Mumbai,Automated platform which will help users to take their financial decisions,2020,,,Angel investors,
Teach Us,EdTech,Seed,12700.0,,Educational portal which enables the students to access information related to education at one common platform,2020,,,Angel investors,
Phenom People,HR tech,Series C,30000000.0,,It redefines the means to search for a job and recruit top talent,2020,2010,Mahe Bayireddi,WestBridge Capital,
Extra Edge,EdTech,Pre-series A,700000.0,Pune,Admission Marketing Automation software for the education industry,2020,,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",
Capital Quotient,FinTech,,600000.0,Bangalore,Investment advisor,2020,2016,Sousthav Chakrabarty,Undisclosed,
Karfa,E-Commerce,Seed,25000.0,Delhi,It sells products crafted by artisans,2020,,Kartikeya Goel,Undisclosed,
Gamerji,Gaming,,400000.0,,Esports tournament platform,2020,2019,"Soham Thacker, Varun Gajjar",La Gajjar Group,
Bounce,Automotive and Rentals,Series D,97500000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",
Zinier,Automation,Series C,90000000.0,Bangalore,Provides intelligent field service automation,2020,2015,Arka Dhar,ICONIQ Capital,
ProEves,Preschool Daycare,Seed,507000.0,Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2020,2016,"Divya Agarwal, Ketika Kapoor",1Crowd,
Capital Float,FinTech,,15000000.0,Bangalore,Digital lending,2020,2013,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",
Ninjacart,B2B Agritech,Series C,10000000.0,Bangalore,Online grocery delivery platform,2020,2015,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",
TechnifyBiz,B2B Agritech,Seed,2000000.0,,Online marketplace for non-perishable food items,2020,2017,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",
Wysh,E-connect,Series A,2000000.0,Hyderabad,Celebrity engagement and wishing platform,2020,2019,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,
Keito,AI,Seed,160000.0,Pune,Enterprise productivity startup,2020,2016,Amal PS,Suma Soft Pvt Ltd,
Klub,FinTech,Pre-seed,2000000.0,,Provides growth financing to high-affinity brands,2020,2019,"Anurakt Jain, Ishita Verma",Sequoia Capital India,
Rheo,Entertainment,,2000000.0,,Online e-sports streaming and community platform,2020,,Gaurav Munjal,"Lightspeed Venture Partners, Sequoia Surge",
Axio Biosolutions,Medtech,Series B,5200000.0,Bangalore,Medical device manufacturer,2020,,Leo Mavely,Omidyar Network India,
Techbooze,Consultancy,Series A,15000000.0,,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020,,Mr. Subhashis Kar,Space Capital,
Testbook,EdTech,Series B,8400000.0,,Helps students prepare online for competitive exams,2020,,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,
FabAlley,E-Commerce,,1100000.0,Noida,Online fashion store,2020,2012,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,
HaikuJAM,,,3400000.0,,Creative writing mobile platform,2020,,Neer Sharma,"Lightbox. Social Capital, Dunce Capital",
Mamaearth,E-Commerce,Series A,18300000.0,,Online baby and mother care brand,2020,,"Ghazal Alagh, Varun Alagh",Sequoia Capital India,
Rentomojo,Rental,,2000000.0,,"Furniture, electronics, and appliance-centric consumer leasing platform",2020,2014,Geetansh Bamania,GMO Payment Gateway,
Zomato,FoodTech,,150000000.0,,Online food delivery and restaurant discovery platform,2020,,Deepinder Goyal,Ant Financial,
Byju,EdTech,,200000000.0,,Provides online learning classes,2020,2011,Byju Raveendran,Tiger Global,
Generico,Pharmacy,,1400000.0,Mumbai,Generic medicine focussed retail chain,2020,,Siddharth Gadia,Alteria Capital,
HighRadius,Tech,Series B,125000000.0,Hyderabad,"An AI-based platform, to automate accounts receivables and treasury processes.",2020,2016,Sashi Narahari,ICONIQ Capital,
